,pixel count,update rate,iterations,kernel size,time rate,detection rate
209,9,15,2,19,73.6373131275177,10.698365527488855
210,9,20,1,7,36.43292450904846,6.438831104507182
211,9,20,1,9,37.34848093986511,20.307082714214957
212,9,20,1,11,45.91778898239136,33.53145121347202
213,9,20,1,13,63.27116632461548,53.04606240713225
214,9,20,1,15,64.60237836837769,55.473006438831106
215,9,20,1,17,65.4198956489563,53.14512134720159
216,9,20,1,19,67.63813161849976,51.21347201584943
217,9,20,2,7,36.7547550201416,51.461119366022785
218,9,20,2,9,39.178839921951294,52.69935611688955
219,9,20,2,11,60.537246227264404,45.81475978207033
220,9,20,2,13,64.6685061454773,38.187221396731054
221,9,20,2,15,65.45167517662048,31.154036651807825
222,9,20,2,17,67.57490849494934,26.54779593858346
223,9,20,2,19,71.38092112541199,10.698365527488855
224,9,25,1,7,35.703373193740845,5.943536404160476
225,9,25,1,9,36.26609778404236,20.950965824665676
226,9,25,1,11,44.89808773994446,33.333333333333336
227,9,25,1,13,61.86073017120361,50.56958890539871
228,9,25,1,15,63.43424344062805,53.24418028727093
229,9,25,1,17,64.80332684516907,52.05547300643883
230,9,25,1,19,66.91339588165283,50.61911837543338
231,9,25,2,7,35.88074231147766,49.33135215453195
232,9,25,2,9,37.885218143463135,51.75829618623081
233,9,25,2,11,59.60784554481506,45.76523031203566
234,9,25,2,13,63.35855841636658,38.236750866765725
235,9,25,2,15,64.5737144947052,31.054977711738484
236,9,25,2,17,66.74378180503845,26.399207528479444
237,9,25,2,19,70.69755792617798,10.698365527488855
238,9,30,1,7,35.03012752532959,7.033184744923229
239,9,30,1,9,35.63663363456726,19.316493313521544
240,9,30,1,11,42.60778045654297,32.788509162951954
241,9,30,1,13,61.870410203933716,49.77711738484398
242,9,30,1,15,63.932562589645386,53.789004457652304
243,9,30,1,17,63.68459749221802,52.15453194650817
244,9,30,1,19,66.20676398277283,50.61911837543338
245,9,30,2,7,35.28739619255066,49.0837048043586
246,9,30,2,9,37.50110626220703,52.05547300643883
247,9,30,2,11,59.750192165374756,45.71570084200099
248,9,30,2,13,62.93054008483887,38.335809806835066
249,9,30,2,15,64.21403479576111,31.054977711738484
250,9,30,2,17,66.10725498199463,26.448736998514114
251,9,30,2,19,70.41830897331238,10.698365527488855
252,11,5,1,7,48.340134620666504,16.592372461614662
253,11,5,1,9,49.220155477523804,31.996037642397226
254,11,5,1,11,57.73728585243225,47.25111441307578
255,11,5,1,13,74.01732587814331,56.364536899455175
256,11,5,1,15,75.53514456748962,55.225359088657754
257,11,5,1,17,76.80531287193298,50.9162951956414
258,11,5,1,19,79.30616474151611,50.123823675086676
259,11,5,2,7,48.73197293281555,55.72065378900446
260,11,5,2,9,51.4537456035614,50.56958890539871
261,11,5,2,11,71.56724381446838,45.41852402179297
262,11,5,2,13,76.56723618507385,37.79098563645369
263,11,5,2,15,77.01908850669861,30.65874195146112
264,11,5,2,17,79.37179970741272,26.300148588410103
265,11,5,2,19,83.93604230880737,10.698365527488855
266,11,10,1,7,40.80774927139282,7.627538385339277
267,11,10,1,9,41.55454111099243,22.88261515601783
268,11,10,1,11,49.357337951660156,42.00099058940069
269,11,10,1,13,67.23481750488281,53.888063397721645
270,11,10,1,15,67.93025326728821,54.928182268449724
271,11,10,1,17,69.54257392883301,51.21347201584943
272,11,10,1,19,71.86163759231567,50.27241208519069
273,11,10,2,7,41.13941478729248,53.04606240713225
274,11,10,2,9,43.27803111076355,50.86676572560673
275,11,10,2,11,64.51303935050964,46.161466072313026
